,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Length,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth,Sentence_Depth
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sub_Category,,,,,,,,,,,,,,,,
mashr,221.0,39.886877828054295,19.714573744694714,4.0,25.0,35.0,52.0,102.0,221.0,6.660633484162896,2.059950916573474,1.0,5.0,6.0,8.0,14.0
mashr-shni,193.0,37.49222797927461,16.306350747416012,7.0,26.0,35.0,46.0,99.0,193.0,6.160621761658031,1.9121605436605726,1.0,5.0,6.0,7.0,12.0
mchowsri-kprh,44.0,47.15909090909091,22.430194746449178,6.0,32.75,43.0,65.25,91.0,44.0,6.545454545454546,2.118078829533592,1.0,5.0,7.0,7.25,13.0
mgilh,66.0,48.166666666666664,17.092133443225443,3.0,39.0,46.5,58.0,82.0,66.0,7.136363636363637,1.968102277176309,2.0,6.0,7.0,8.0,12.0
milh,37.0,52.37837837837838,18.085217031461777,3.0,43.0,54.0,62.0,92.0,37.0,6.8108108108108105,2.1322632451333363,1.0,6.0,7.0,8.0,11.0
mkirh,410.0,46.392682926829266,19.56306197307312,5.0,31.25,43.0,59.0,104.0,410.0,6.81219512195122,2.31426902831725,1.0,6.0,7.0,8.0,15.0
mkowowaowt,149.0,41.13422818791946,21.82939306522806,5.0,26.0,38.0,54.0,99.0,149.0,6.738255033557047,2.391979766801693,1.0,5.0,7.0,8.0,17.0
mlkim,128.0,45.6328125,24.293115285925673,5.0,26.0,42.0,63.25,104.0,128.0,6.734375,2.14983747783463,2.0,5.0,7.0,8.0,11.0
mlowh,264.0,52.57954545454545,22.52150046205991,4.0,35.0,51.0,67.0,108.0,264.0,7.083333333333333,2.4666341244042536,1.0,6.0,7.0,8.0,15.0
mmrim,60.0,44.6,24.117087268264484,5.0,28.0,42.0,54.25,107.0,60.0,6.8,2.223144817900069,3.0,5.0,6.5,8.0,12.0
mtmai-mshkb,129.0,47.34108527131783,24.31996868702722,8.0,28.0,43.0,63.0,101.0,129.0,6.713178294573644,2.298755772320147,1.0,6.0,7.0,8.0,14.0
mtnowt-aniim,199.0,42.21608040201005,20.395546719156634,5.0,26.0,39.0,54.0,106.0,199.0,6.683417085427136,2.1094487723433715,2.0,5.5,6.0,8.0,13.0
narh-btowlh,53.0,40.679245283018865,19.360719138846434,3.0,28.0,38.0,53.0,104.0,53.0,6.69811320754717,2.2496572872361056,2.0,5.0,6.0,8.0,12.0
nchlowt,109.0,44.61467889908257,22.275176458078445,5.0,31.0,40.0,53.0,107.0,109.0,7.091743119266055,1.6971724000888988,3.0,6.0,7.0,8.0,12.0
ndrim,247.0,44.40485829959514,19.291675841895707,5.0,30.0,41.0,56.0,98.0,247.0,6.562753036437247,2.103788035258698,1.0,5.0,7.0,8.0,13.0
nzirowt,177.0,44.12994350282486,19.47463549948237,5.0,30.0,41.0,57.0,96.0,177.0,6.632768361581921,2.2400410196919194,1.0,5.0,7.0,8.0,14.0
nzki-mmown,257.0,39.85992217898833,15.496592014259788,3.0,29.0,39.0,50.0,89.0,257.0,6.642023346303502,2.275091127862315,1.0,6.0,7.0,8.0,16.0
prh-adowmh,149.0,43.54362416107382,23.068488868337287,3.0,24.0,41.0,59.0,106.0,149.0,6.845637583892618,2.616798209218108,1.0,5.0,7.0,8.0,15.0
psowli-hmowkdshin,323.0,33.8235294117647,20.739956124619717,5.0,18.0,29.0,43.0,98.0,323.0,6.411764705882353,2.0971996221208293,1.0,5.0,6.0,7.0,16.0
rowzch,207.0,40.7536231884058,17.502625986417883,3.0,29.0,40.0,52.0,99.0,207.0,7.043478260869565,2.2690495590057402,1.0,6.0,7.0,8.0,15.0
sanhedrin,157.0,19.579617834394906,11.513719457692595,4.0,12.0,17.0,24.0,77.0,157.0,4.8471337579617835,1.3921280753393224,2.0,4.0,5.0,6.0,11.0
shabat,278.0,16.48201438848921,8.319306863297736,4.0,11.0,15.0,21.0,68.0,278.0,4.726618705035971,1.3262457825568914,2.0,4.0,5.0,5.0,11.0
shalh,52.0,54.84615384615385,24.954377678259192,5.0,37.5,50.0,75.75,108.0,52.0,6.9423076923076925,3.1211703532581034,1.0,5.0,6.0,8.25,17.0
shar-abowt-htowmah,239.0,46.02092050209205,24.410434416306753,3.0,26.5,42.0,59.0,108.0,239.0,6.803347280334728,2.6849700890120975,1.0,5.0,6.0,8.0,16.0
shbitt-ashowr,29.0,53.310344827586206,21.012077221506722,3.0,40.0,51.0,64.0,100.0,29.0,7.689655172413793,2.842326113237211,3.0,6.0,7.0,9.0,15.0
shbowaowt,200.0,44.845,19.553071061592817,8.0,30.0,42.0,58.0,101.0,200.0,7.185,2.3746515216440143,2.0,6.0,7.0,8.25,16.0
shbt,676.0,52.17307692307692,19.924106002528696,3.0,37.0,50.5,65.25,107.0,676.0,7.047337278106509,2.377825090007157,1.0,5.0,7.0,9.0,15.0
shchith,349.0,33.11174785100287,20.84181265377028,5.0,16.0,31.0,46.0,103.0,349.0,6.042979942693409,2.280826693277892,1.0,4.0,6.0,7.0,15.0
shggowt,118.0,55.88135593220339,27.053340628679756,5.0,32.25,52.0,77.0,108.0,118.0,7.127118644067797,2.580487630885624,1.0,6.0,7.0,8.0,17.0
shkirowt,103.0,52.51456310679612,25.65604468685537,6.0,34.5,49.0,71.0,106.0,103.0,7.203883495145631,3.1039482235579965,2.0,5.0,7.0,9.0,15.0
shklim,51.0,47.03921568627451,20.62712852950088,3.0,32.5,42.0,60.5,101.0,51.0,6.803921568627451,2.172736595569166,1.0,6.0,7.0,8.0,12.0
shknim,139.0,46.0431654676259,23.737046964668053,4.0,28.0,43.0,60.0,106.0,139.0,7.0359712230215825,2.474244349415627,1.0,5.0,7.0,8.0,15.0
shlowchin-owshowtpin,60.0,57.083333333333336,22.144587789380545,5.0,41.75,52.5,71.0,105.0,60.0,7.366666666666666,2.6931593611653892,1.0,6.0,7.0,9.0,14.0
shmith-owiowbl,254.0,38.04330708661417,18.126316075653516,3.0,25.0,35.0,47.75,105.0,254.0,6.110236220472441,2.1179763122835804,1.0,5.0,6.0,7.0,14.0
showpr,134.0,51.87313432835821,19.63173035467486,3.0,39.25,49.5,65.0,96.0,134.0,6.917910447761194,2.200644155397918,1.0,6.0,7.0,8.0,13.0
snhdrin,233.0,45.36051502145923,24.443082790133772,3.0,26.0,41.0,62.0,107.0,233.0,6.76824034334764,2.5218741137166947,1.0,5.0,7.0,8.0,15.0
sowth,89.0,39.46067415730337,16.319297124302146,3.0,29.0,39.0,52.0,90.0,89.0,6.741573033707865,2.0534233604998198,1.0,6.0,7.0,8.0,11.0
tanach,5.0,68.6,4.505552130427524,64.0,65.0,68.0,71.0,75.0,5.0,5.8,2.7748873851023217,1.0,6.0,7.0,7.0,8.0
taniowt,88.0,49.13636363636363,20.236067617051514,3.0,31.75,49.0,63.0,94.0,88.0,6.238636363636363,2.2539585518826684,1.0,5.0,6.0,7.25,12.0
tapuz,50296.0,15.460990933672658,13.701833521732752,3.0,7.0,11.0,19.0,258.0,50296.0,4.7530221091140445,2.0246322902971543,0.0,3.0,4.0,6.0,23.0
tlmowd-towrh,98.0,41.07142857142857,29.232889964389475,6.0,18.25,33.0,58.25,107.0,98.0,6.112244897959184,2.363304750020307,1.0,5.0,6.0,7.75,13.0
tmidin-owmowspin,158.0,37.677215189873415,22.74653161419761,5.0,22.0,33.0,46.0,105.0,158.0,6.2405063291139244,2.1457419833697053,1.0,5.0,6.0,8.0,14.0
tmowrh,44.0,40.59090909090909,25.21748948445345,5.0,19.75,38.5,55.25,107.0,44.0,6.090909090909091,2.419092486173197,1.0,4.75,6.0,7.25,11.0
towan,163.0,56.25153374233129,23.231615207814926,6.0,40.0,54.0,70.5,106.0,163.0,7.478527607361963,2.7292142027251334,1.0,6.0,7.0,9.0,17.0
towmat-aowklin,249.0,37.261044176706825,22.64843796939837,3.0,19.0,33.0,50.0,98.0,249.0,6.421686746987952,2.413606332960935,1.0,5.0,6.0,8.0,18.0
towmat-mt,208.0,51.44230769230769,24.823950925998176,5.0,30.0,51.0,69.0,106.0,208.0,6.975961538461538,2.533714509550132,1.0,5.0,7.0,8.25,16.0
towmat-zrat,157.0,48.86624203821656,25.28455886895107,5.0,30.0,43.0,70.0,107.0,157.0,6.840764331210191,2.445586170991573,1.0,5.0,7.0,8.0,14.0
tpilh,234.0,52.782051282051285,18.89454409697551,5.0,39.0,51.5,64.75,103.0,234.0,6.978632478632479,2.472937786889256,1.0,6.0,7.0,8.0,21.0
tpilin,148.0,53.83783783783784,18.638725706805296,6.0,41.0,53.5,64.25,99.0,148.0,6.804054054054054,2.2059251804674127,1.0,5.0,7.0,8.0,14.0
trowmowt,315.0,43.46031746031746,19.842553350458125,3.0,29.0,41.0,55.0,101.0,315.0,6.907936507936508,2.267416778948922,1.0,5.5,7.0,8.0,15.0
tshowbh,50.0,65.02,24.328944716538942,23.0,45.25,67.0,84.0,103.0,50.0,7.12,2.911202851196791,1.0,5.0,6.5,9.0,14.0
zizit,39.0,49.61538461538461,21.52185594693937,3.0,28.5,50.0,67.0,94.0,39.0,6.435897435897436,2.3708189990055932,1.0,5.0,6.0,7.5,11.0
zkih-owmtnh,215.0,39.223255813953486,19.664390193611137,5.0,26.0,36.0,49.0,98.0,215.0,6.665116279069768,2.183078907060709,1.0,5.0,6.0,8.0,13.0
